,overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
6099679,5,,True,"10 10, 2016",ATGTQKPUR7XIO,B01HJCN5GC,,Arthur,Great buy!,Five Stars,1476057600,
6099680,5,,True,"09 8, 2016",A15VV7NPTST593,B01HJCN5GC,,Randy T.,Works very well and we have lots (& lots) of extra extension. We are able to pass our device back and forth with no trouble.,Extend your reach with ease,1473292800,
6099681,5,,True,"03 15, 2017",AIM3MWK3Y7XOR,B01HJCN5GC,,Kindle Customer,This cable is very flexible. Just what I wanted.,Flexible cable,1489536000,
6099682,5,,True,"02 16, 2017",A5W6EI03IKOLB,B01HJCN5GC,,P.Davidson,"These are the best charging cables, and if other family members didn't take them I wouldn't have to keep ordering them.",Best cables,1487203200,
6099683,4,,True,"02 14, 2017",A3QZTMHQ1XZ8PM,B01HJCN5GC,,glittergirl,"I bought this in rose gold or light pink and it's clearly more bubblegum to bright pink in color but other than that, it's a cord and it does it's job. The length is great and I haven't had any issues with it. It's a nice pop of color and it's a quality cord.",super cute cord,1487030400,
6099684,1,,True,"08 12, 2017",A32FO50C2TD7KX,B01HJCN5TO,,Jennifer M,Stopped staying in the charge port after a week. Waste of money,Crap after a week,1502496000,
6099685,5,,True,"08 3, 2017",A3KKG6Z3MMEWQ2,B01HJCN5TO,,Carolyn Little,"Easy to find, nice to have extra long cord.","Nice Length, Worked Great",1501718400,
6099686,5,,True,"07 31, 2017",A24E93RABV1SN6,B01HJCN5TO,,EABaldwin,"Excellent cabel. The nylon cording keeps the wires from breaking, and the 10-foot length comes in handy, too.",Love it!,1501459200,
6099687,5,,True,"06 17, 2017",AY8FBAZ0J9V6Q,B01HJCN5TO,,mercedes c,It charges my phone quickly. I love the length of the cable too.,Works with my android,1497657600,
6099688,5,,True,"06 5, 2017",A1Q9H6HK893HTN,B01HJCN5TO,,Mary D,Awesome color and love the quality. Best cord that I have purchased!,Awesome!,1496620800,
6099689,4,,True,"05 12, 2017",A14XUKTQ0JLMOL,B01HJCN5TO,,J. L. Wirtjes,Can't use the Kindle and have it stay plugged in. Slightest bump seems to pull the cord out. Too stiff makes it awkward to use.  Would not buy again. - Customer service contacted me and were very nice. I would give their customer service a full 5 stars.- Update. Customer service sent me a replacement. The new one is much better. I have used it 3 days and it stays plugged in. It is not as stiff as the first either. Much happier with this new cable. Company obviously cares if the customer is happy. The green is sure easy to find.,Replacement much better than original.,1494547200,
6099690,5,,True,"05 1, 2017",A1YQSD3NYT0ZQE,B01HJCN5TO,,Pigs,"Good-looking, well-made cable",Five Stars,1493596800,
6099691,5,,True,"03 7, 2017",A28AAIE3CHN7J9,B01HJCN5TO,,Lj Anderson,"The ladies asked for a review of this cord.  Okay, what makes this cord different is that it stiff in the right places.  I don't fear having the cord bend and then play the bleep gave of maybe or not backing a good connection.  This is not a game you want to see (hear) when you' expecting your item (Kindle) to be ready to go at 4 a.m. when you get up and having it fully charged for your morning.  And this works. Period!
thanks",It Works. Period.,1488844800,
6099692,5,,True,"02 16, 2017",A3C2ATO5SRIN31,B01HJCN5TO,,k.h,real nice charging cable which fits snug,Five Stars,1487203200,
6099693,5,,True,"12 15, 2016",AVJ4WH7RPX8D0,B01HJCN5TO,,B. Arbuckle,Totally as described,Plug It In!!,1481760000,
6099694,5,,True,"12 6, 2016",AAFVMKZUY794L,B01HJCN5TO,,DZ,Great heavy duty cable. With its extra length it makes it easy to stay connected and use tablet for lengths of time without running down battery.,Much nicer than standard Kindle charger cable,1480982400,
6099695,5,,False,"11 22, 2016",A34Z0ZMG2KUW3N,B01HJCN5TO,,Clint Allen,These cables are tough and awesome you don't run out of room with these,Awesome cable,1479772800,
6099696,1,11,True,"10 29, 2016",A1QZ1I5MWJ6MXS,B01HJCN5TO,,Chris,"Micro usb connector metal soft, easy to deform....bought two just in case....I read the one and two star reviews but evidently didn't pay attention....one cable stopped functioning.....the other won't charge unless held to charging position...it sounds weird I know but to charge cable has to be tilted into fire....I taped it in them remembered I bought two....guess I'll go back and tape it",On well!!!,1477699200,
6099697,5,,True,"09 23, 2016",A1AOMNXFSEI4SZ,B01HJCN5TO,,Pete Vaughn,Received cable quickly. Opened package and plugged in. Works perfectly for my spouse's Kindle. Original was too short to utilize while reading. New cable is more than long enough and seems to be built to take abuse and still work. Love it.,Long and strong,1474588800,
6099698,5,,True,"08 21, 2016",A37UYCR1HG32NC,B01HJCN5TO,,ALW,"My daughter's favorite color is green, so this was the perfect USB charger to compliment her Kindle.  The length is great!  I also like the fabric-like covering of the cord.  Really nice charger!",My daughter's favorite color is green,1471737600,
6099699,5,,True,"07 27, 2016",A2TW64YTKK49OC,B01HJDNL60,,TURKI AL GHAMDI,Excellent liked,Five Stars,1469577600,
6099700,5,2,False,"07 6, 2016",A2NN1KIYEM2SKS,B01HJDNL60,,AF,"I reviewed the R2 Camera, so naturally being impressed with the R2 Im reviewing the N1 camera as well. While the size of the R2 is small the N1 is even smaller and a dainty little camera similar to the size of a GoPro. The resolution is 1080P with HDR, to be honest the quality is on par with the more expensive cameras at the same resolution, you can expect the same sharp and clear video. While the processor is not the most powerful out there, it does work well and there are no lags or delays in operation. The Novatek NT96650 processor and AR0330 color CMOS sensor is comparable to what you would find on similar sizes camera and monitor systems.

The mount is similar to the R2 mount with a suction cup design which really holds well and does not come off the windshield unlike cheaper mounts. The USB power connector is also like the R2, which is USB Mini and well integrated into the design so you can hide the cord as the orientation of the cord faces up to give you a nice and clean concealed look to hide the long cord under the headliner. Again like the R2 the cord is very long and you can easily hide the cable and have plenty left over if you want to direct wire and bypass the standard 12v adapter.

The one option I really like compared to the R2 is the recoding loop length which is longer than the R2 so there are less video clips to deal with. This option needs to be rolled over to R2 for sure. Just like the R2 there are two folders, Event Folder and Normal folder. The Event folder comes in handy when you get rear ended or you hit the emergency button which stores it in the SD card and does not get overwritten. Another great feature I wish the R2 would incorporate at the highest resolution is the ability to use the snapshot feature while recording, granted this is at 1080p. The snapshot upscales the image to 12MP and it does not distort the image.

Joe sent me a link to upgrade the firmware and this drove me nuts because the Version code did not match the firmware version. It turns out that this is an error on Vantrues part but the camera was successfully updated after all and the version number in the firmware file was not named properly. So folks, don't beat your head if you don't think the upgrade worked when it actually probably took if it shows V1 instead of V2.

Similar to the R2 the SD card slot is deep and a little difficult to remove easily, this is really not a big issue at all, just something to point out. I don't use the parking mode or the G-sensor because the parking mode will drain your cars battery and the internal battery is very small at 150mAh. If you however buy this camera for this function than I highly recommend a portable rechargeable battery which is dirt cheap and you can even get a solar battery pack so you don't even need to recharge using your cars battery. The sensor was a little too sensitive for me so I just turned it off but it can be a very useful feature if you park and get hit. The camera does not support GPS unlike the R2 but that is why you pay a premium for the R2.  There is no IR but the IR on the R2 and all dash cams available today are not a true IR camera anyway so it makes no difference.

The camera supports up to 64GB without any problems as long as it is formated to FAT32, make sure you use a Class 10 card to avoid any video delays and latency problems. Overall this is a great little camera with all the bells and whistles you would expect at this price point. It is very similar to the big brother in terms of GUI and interface so the transition between the two is seamless. Highly recommend this camera for a small footprint high quality 1080P camera.

And as usual Joe is great to deal with when you have questions",Small but very powerful,1467763200,['https://images-na.ssl-images-amazon.com/images/I/7118zlft22L._SY88.jpg']
6099701,5,,True,"08 21, 2017",A2ZUCDPAXAG7WR,B01HJDNL60,,Tiger,Vantrue N1 dash camera is a outstanding small camera the footage on it is A1 for a camera this size. You can not go wrong with this and value for this price.,Vantrue N1 dash camera is a outstanding small camera the ...,1503273600,
6099702,5,,False,"07 16, 2017",A8F3U127JKJK4,B01HJDNL60,,i3r,"Camera works great. Mount takes some work to secure but once it is, it stays. The aluminum thats exposed will get hot enough to burn on summer days so be careful handling it. The camera has not shut of due to heat though. Very durable.",Camera works great. Mount takes some work to secure but once ...,1500163200,
6099703,5,,False,"07 6, 2017",A30GIC1G8SLSYK,B01HJDNL60,,Striider,"Slick camera, low light is meh.  Make sure you buy the endurance series microSD's to put in any dashcam, as they will fail with repeated rewrites.","Slick camera, low light is meh. Make sure ...",1499299200,
6099704,1,,False,"07 4, 2017",A2V19LG8ZDZ2MP,B01HJDNL60,,Brandon M.,The stand lock lever broke after two uses. The lock lever is also the charging port....,Stand sucks,1499126400,
6099705,5,,True,"05 18, 2017",A23ZQ0I6Y9FEI9,B01HJDNL60,,Nicole T.,"AWESEOME Dashcam, excellent features and clarity!",Totally worth more,1495065600,
6099706,2,,False,"04 30, 2017",AFIAP403JVFSH,B01HJDNL60,,Tim,"I would not purchase this dashcam. It's lasted the shortest time of the 4 dashcams I've owned. There is a smooth ball socket in a clamp that the dashcam swings from, clamped by two tint fine pitched screws into a plastic female thread. The dashcam can't even hold still because it's a large piece of weight hinging off that socket. The camera can move around and it will wear even more. Soon the dashcam will be worthless.

Edit:
Someone asked: [if the cam is really good i'm sure you can come up with alternative ways to mount.]

Nope! You cant. Because the wiring is integrated into the mount, meaning there's a quick disconnect built into the mount that provides the camera with power. Which also reminds me, has a twisting wire in it. Gets crispy in the sun? You'll be twisting it a full 90 degrees every time you engage/disengage the suction cup.",clamped by two tint fine pitched screws into a plastic female thread,1493510400,
6099707,1,6,False,"04 27, 2017",A3NOEW4WUZ1EDG,B01HJDNL60,,LA MC,Failed when we need it today.  The cam was stuck on some non record mode.  Only had videos from last year stored.  Buyers beware.  You may want to check on the footage weekly to confirm it's workimf right.  Wish we had the footage from a hit and run today.  F U vantrue.,Fail,1493251200,['https://images-na.ssl-images-amazon.com/images/I/71myN3y9olL._SY88.jpg']
6099708,1,,False,"04 27, 2017",A3E5RPQG72M4JH,B01HJDNL60,,Jennel M.,"Update 1/26/18

Updating my rating to 1 star after 10 months of use.  This POC stopped loop recording by itself and didn't realize it until I tried downloading some videos today. Last recording was June 2017! Ive been seeing this power on everytime I started the car.  What I noticed was the memory card was full so likely it just stopped recording then. What pisses me off is I has loop recording set. And I do have the latest firmware. Glad I didn't have any incidents between June and now. But totally appalled at such an unreliable product.  I use a Samsung evo 32gb shdc class 10.



Camera is ok and does what's expected of it for the price.  What I hate is the mount.  I've had this item for just a month and the mount is wobbly already.  I think there is a design flaw in that the mount has some play left to right.  I tried tightening the 2 screws to no avail.  Everytime I get on the car I have to make sure the camera is straight and it's annoying that I have to do that constantly.","Wobbly Mount, Stopped Loop Recording",1493251200,
6099709,4,,False,"04 20, 2017",A1F6F8DILVNEB,B01HJDNL60,,eforum1,"My initial impressions of this dashcam are good, as I have owned several dashcams. Video quality is better than the ones that I've had, and mic quality is VERY good (it even picks up the crunching sound when I eat chips in the car). I am able to read license plates of the cars in front of me, and it records fairly well even with the sun directly in my face. The folder structure this dashcam creates are clear and easy to use as well. There is an ""EVENTS"" directory and ""NORMAL"" directory. Recordings that detect an increase in G forces will automatically be saved in ""EVENTS"" and be un-deletable from the camera for protection. My only gripe is the high MSRP for what you're getting and the mount for the camera which gets very loose even when I have both screws tightened all the way. Will update review after I get some more use out of it as this is still the first week.","Initial Impressions Are Good, Mount is a Little Loose",1492646400,
6099710,5,,True,"04 16, 2017",A2FWH6AA4Z1W3M,B01HJDNL60,,gt40hwy,This little camera catches excellent video and is a must if you are on the road a lot. I drive a tractor trailer what it captures would shock you. So if you value your license this is a must to prove who is at fault.,This little camera catches excellent video and is a must if you are on ...,1492300800,
6099711,5,,False,"03 19, 2017",AWPQMVSPC27G2,B01HJDNL60,,nm4482,This is a very good dash cam for the price.,Five Stars,1489881600,
6099712,4,,False,"02 20, 2017",AFG15F8Y13KEG,B01HJDNL60,,Audi,"Love the compact size and price paid ($56.99)
Quality is decent but (of course) not as sharp as an iPhone 6 recording.",Nice cam,1487548800,
6099713,5,,False,"02 20, 2017",A3P4I08Y5ABPIW,B01HJDNL60,,Jun Jun,"Great image and easy to install. Could have better instructions, but it works fine and it does not take to much space on the windshield, which is what I was looking for.

4/29/17 So I got a second cam. It seems that the Upgraded N1 is now an X1. Bigger and better viewing angle. I did had an issue with the original one, but I contacted Vantrue directly and after a few back and forward trying to solve the issue they replaced the camera. I have no complains by the way they handle everything, it was fast and very easy.",Cool littlel cam.,1487548800,
