,overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
6426478,0,,True,"07 11, 2014",A4IK9HHY87IMY,B00BIK06IC,,J.J.R.,"I bought this for my a5000. If air bubbles drive you crazy, stay away from this product. It distracts when composing using the beautiful high resolution LCD screen.",Get this if like air bubbles on your LCD screen,1405036800,
1779031,0,,True,"10 5, 2015",A2JH2EPEGQPWW,B001SEQN3U,,Amazon Customer,We bought 4 of these for our office over a year ago. The last remaining one broke today. Each of them worked great and were probably the best wireless headsets we've purchased until the plastic headbands cracked and failed. We've taped them and tried to make it work but eventually they all ended up in the trash. What a shame.,All 4 broke at the headbands,1444003200,
6690971,1,,True,"08 23, 2017",A2FTAY32V7S3IX,B01944C4AG,,Lisa B,"did the job,",Four Stars,1503446400,
5633876,1,,True,"08 2, 2016",AK069W8SWYUJE,B016JREG6Q,,Bryguy,Best thing i put inside my Mac! She is an '06 and works like a '17 model. Fires right up after sleep while the wife's '10 Mac is just trying to wake up. A must have to extend the life of your Mac where he HDD is the slow funnel.,"Do it, do it now, it's freaking easy!!",1470096000,
5796157,1,,True,"05 10, 2016",A1LEGXZEWO0H6Y,B01AHKYIRS,{'Size:': ' 2 pack'},Justin E.,I've never had any issues with any Anker mobile product. Great quality compared to most I've tried.,Great Products,1462838400,
1193708,1,,True,"03 9, 2012",A1QUF25ZMY25V3,B001FA1O18,"{'Color:': ' Black', 'Capacity:': ' 8 GB'}",HenDog,Great iPod. i got this because i got 200 bucks for Christmas and this is what i wanted. plus i have more gb now still use my old nano 4gb for going to school lol. great ipod though! can't go wrong with apple products.,iPod Touch 4g = awsome,1331251200,
4391323,1,,True,"01 29, 2018",A2UUFYMO39Q4PM,B00L3KO5WK,{'Length:': ' 6 Feet'},SleepingKnight,Simple cable for way less than competitors. You don't need anything super fancy when it comes to these cables and this cable fits the bill. Connected easily and performs exceptionally.,Connected easily and performs exceptionally.,1517184000,
2879853,1,,True,"02 24, 2016",A2WOGHG4JFVZ7C,B0099TX7O4,,JLK88,works good,Five Stars,1456272000,
5355047,1,,True,"08 7, 2016",AJCXFB3VM92XU,B010GGJ7B0,,Neil E,Screen was REAL easy to replace and the picture was great,Great Replacement,1470528000,
2848264,1,,True,"07 11, 2014",A362QLSZAMX1YO,B0095WVHVU,"{'Size:': ' Paperwhite', 'Color:': ' Black'}",Tom G,"Covers and protects my Kindle Paperwhite. It does put the display to sleep but have been able to get around that by putting my finger between the cover when open, not a big deal.",Covers and protects my Kindle Paperwhite. It does put ...,1405036800,
6662155,0,,True,"12 7, 2017",A2PXHSYFT7MABU,B0146GV5MK,{'Color:': ' Black / Orange'},Geno,Update to my previous rating: 4 stars to two. Speaker went out after a year and 10 months.,It's good while it lasts.,1512604800,
2398943,1,,True,"03 6, 2016",A11758Y0RC497K,B0065MMKTG,,Amazon Customer,"Each is twice the factory Canon battery at a fraction of the price, plus the charger!",Five Stars,1457222400,
2897172,1,,True,"10 24, 2014",A3K4YN2QPOLGUL,B009CMN3V0,{'Capacity:': ' 8GB'},B. J. Lilly,GOOD PRICE,Four Stars,1414108800,
1899260,0,,True,"07 8, 2013",A2DYPUU188F6BV,B004LNFJCQ,{'Style:': ' Prior Generation 2'},Chris Chilson,"I never would have believed a simple consumer device could be so difficult to reprogram, update, or troubleshoot. mandatory firmware updates are extremely slow (20 mbps down), each one introduces new glitches that didn't exist before. Now that the unit is reaching the end of the warranty, it freezes up on BD play, won't respond to any controls, has to be unplugged for several minutes. BD quality is good, but SD is mediocre, not even the match of my old $40 Toshiba SD  player. I advise others to read the detailed 2 and 3 star reviews on this site before purchase, I wish I had, instead of relying on CNET's advice.",frustrating,1373241600,
2914306,1,,True,"05 25, 2016",AXCKDBXMZD30D,B009FBIBKG,{'Color:': ' Brown'},R. T. PORTER,NICE CASE.  FITS WELL.  PLEASING APPEARANCE.  LOOKS TO BE WELL-CONSTRUCTED AND DURABLE.  I LIKE IT.,DURABLE AND WELL-CONSTRUCTED,1464134400,
2337741,1,,True,"03 6, 2016",AF1HHI0GYM0DX,B005STXPOG,,Martin T. Schwabe,Thanks,Five Stars,1457222400,
167557,0,,True,"07 13, 2013",A2KA51YHCM9HCC,B00009R7ZL,,Jason R Francis,"I give this credit where it is due.. it is a cable shutter release with a screw lock and it works well.  However........ (don't you just love those) My unit's cable came in black, not in silver as the above shows and shipping was twice the cost of the actual unit.  You are better off supporting your local camera shop on this one.",Nice.. but.,1373673600,
